Plate Number,Detected At,OCR Count
REF,2025-06-17 22:29:21,1
RIBJF,2025-06-17 22:29:21,1
RIBJF,2025-06-17 22:29:22,1
RIB} F,2025-06-17 22:29:22,1
RIB} F,2025-06-17 22:29:22,1
R-E3 J,2025-06-17 22:29:22,1
RB}F,2025-06-17 22:29:23,1
R-IB3 JF,2025-06-17 22:29:23,1
R-IB3 JF,2025-06-17 22:29:23,1
R-1B3-JF,2025-06-17 22:29:23,1
R-IB3- JF,2025-06-17 22:29:23,1
R-183-JF,2025-06-17 22:29:24,1
R-183-JE,2025-06-17 22:29:24,1
R-183-JF,2025-06-17 22:29:24,1
R-1B3-JE,2025-06-17 22:29:24,1
R-1B3-JF,2025-06-17 22:29:24,1
R-1B3-JF,2025-06-17 22:29:25,1
R-1B3-JF,2025-06-17 22:29:25,1
R-1B3-JF,2025-06-17 22:29:25,1
R-183-JF,2025-06-17 22:29:25,1
R-183-JF,2025-06-17 22:29:25,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:26,1
R-183-JF,2025-06-17 22:29:27,1
R-183-JF,2025-06-17 22:29:27,1
R-183-JF,2025-06-17 22:29:27,1
R-183-JF,2025-06-17 22:29:27,1
R183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:28,1
R-183-JF,2025-06-17 22:29:29,1
R-183-JF,2025-06-17 22:29:29,1
R-183-JF,2025-06-17 22:29:29,1
R-183-JF,2025-06-17 22:29:29,1
R-183-JF,2025-06-17 22:29:29,1
R183-JF,2025-06-17 22:29:29,1
R-183.JF,2025-06-17 22:29:30,1
R-183-JF,2025-06-17 22:29:30,1
R-183-JF,2025-06-17 22:29:30,1
R183-JF,2025-06-17 22:29:30,1
R183-JF,2025-06-17 22:29:30,1
R-183-JF,2025-06-17 22:29:30,1
R183-JF,2025-06-17 22:29:31,1
R-187IF,2025-06-17 22:29:31,1
Rib UIr,2025-06-17 22:29:31,1
Ri8t I,2025-06-17 22:29:31,1
R-187 IF,2025-06-17 22:29:31,1
R8UJE,2025-06-17 22:29:31,1
RI8UJE,2025-06-17 22:29:32,1
R-183 JF,2025-06-17 22:29:32,1
R-183 JF,2025-06-17 22:29:32,1
4,2025-06-17 22:29:32,1
9,2025-06-17 22:29:32,1
TK,2025-06-17 22:29:33,1
FE,2025-06-17 22:29:33,1
RH,2025-06-17 22:29:34,1
DiI,2025-06-17 22:29:34,1
DU,2025-06-17 22:29:34,1
DEE,2025-06-17 22:29:34,1
F694-JL,2025-06-17 22:29:34,1
Gilin,2025-06-17 22:29:34,1
Grin,2025-06-17 22:29:35,1
Gn,2025-06-17 22:29:35,1
MEA,2025-06-17 22:29:35,1
RBLH,2025-06-17 22:29:35,1
CL,2025-06-17 22:29:35,1
KAD,2025-06-17 22:29:36,1
43a4-JE,2025-06-17 22:29:36,1
RBAI,2025-06-17 22:29:36,1
48o4-JE,2025-06-17 22:29:36,1
484-u,2025-06-17 22:29:36,1
R8k,2025-06-17 22:29:37,1
DBAA,2025-06-17 22:29:37,1
8R4-JV,2025-06-17 22:29:37,1
RBrJ,2025-06-17 22:29:37,1
RBRM,2025-06-17 22:29:37,1
RBRM,2025-06-17 22:29:38,1
RBRM,2025-06-17 22:29:38,1
0-894JV,2025-06-17 22:29:38,1
N894M,2025-06-17 22:29:38,1
N-894-JV,2025-06-17 22:29:38,1
N-894-JV,2025-06-17 22:29:39,1
N-894-JV,2025-06-17 22:29:39,1
N-894-JV,2025-06-17 22:29:39,1
N-894-J,2025-06-17 22:29:39,1
N-894-J,2025-06-17 22:29:39,1
N-894-JV,2025-06-17 22:29:40,1
N-894-JV,2025-06-17 22:29:40,1
N-894-JV,2025-06-17 22:29:40,1
N-894-JV,2025-06-17 22:29:40,1
N894-JV,2025-06-17 22:29:40,1
N894J,2025-06-17 22:29:40,1
N-894-JV,2025-06-17 22:29:41,1
N894-JV,2025-06-17 22:29:41,1
N894-JV,2025-06-17 22:29:41,1
N-894-JV,2025-06-17 22:29:41,1
N-894 JVv,2025-06-17 22:29:41,1
N894-JV,2025-06-17 22:29:41,1
N-894-JV,2025-06-17 22:29:42,1
N-894-JV,2025-06-17 22:29:42,1
Loe,2025-06-17 22:29:42,1
Lo56,2025-06-17 22:29:42,1
Lo56Xh,2025-06-17 22:29:43,1
L6s63A,2025-06-17 22:29:43,1
Losexh,2025-06-17 22:29:43,1
L656-Xh,2025-06-17 22:29:43,1
L6s6-XH,2025-06-17 22:29:44,1
L656-XH,2025-06-17 22:29:44,1
L656 XH,2025-06-17 22:29:44,1
L656-XH,2025-06-17 22:29:44,1
L656 XH,2025-06-17 22:29:45,1
L-o56-XH,2025-06-17 22:29:45,1
L-656-XH,2025-06-17 22:29:45,1
L656.XH,2025-06-17 22:29:45,1
Los6-XH,2025-06-17 22:29:45,1
L656.XH,2025-06-17 22:29:46,1
L-656-XH,2025-06-17 22:29:46,1
L-656.XH,2025-06-17 22:29:46,1
L-656 .XH,2025-06-17 22:29:46,1
L656.XH,2025-06-17 22:29:46,1
L656.XH,2025-06-17 22:29:46,1
L-656-XH,2025-06-17 22:29:47,1
L656 XH,2025-06-17 22:29:47,1
L656-XH,2025-06-17 22:29:47,1
L-656 XH,2025-06-17 22:29:47,1
L656.XH,2025-06-17 22:29:47,1
L656-XH,2025-06-17 22:29:48,1
L656-XH,2025-06-17 22:29:48,1
L6s6 XH,2025-06-17 22:29:48,1
L-656-XH,2025-06-17 22:29:48,1
L6s6.XH,2025-06-17 22:29:48,1
L6s6-XH,2025-06-17 22:29:49,1
L656-XH,2025-06-17 22:29:49,1
L656-XH,2025-06-17 22:29:49,1
L6s6-XH,2025-06-17 22:29:49,1
L6s6-XH,2025-06-17 22:29:49,1
L-656-XH,2025-06-17 22:29:50,1
L-656-XH,2025-06-17 22:29:50,1
L656-XH,2025-06-17 22:29:50,1
L.656-XH,2025-06-17 22:29:50,1
L656-XH,2025-06-17 22:29:51,1
L656-XH,2025-06-17 22:29:51,1
L.656-XH,2025-06-17 22:29:51,1
L656-XH,2025-06-17 22:29:51,1
L656 XH,2025-06-17 22:29:51,1
L656-XH,2025-06-17 22:29:52,1
L656-XH,2025-06-17 22:29:52,1
L-656-XH,2025-06-17 22:29:52,1
L6s6-XH,2025-06-17 22:29:52,1
L656-XH,2025-06-17 22:29:52,1
L656-XH,2025-06-17 22:29:53,1
L656.XH,2025-06-17 22:29:53,1
L656.XH,2025-06-17 22:29:53,1
L656.XH,2025-06-17 22:29:53,1
L656.XH,2025-06-17 22:29:53,1
L656 XH,2025-06-17 22:29:54,1
L6s6-XA,2025-06-17 22:29:54,1
L656 XH,2025-06-17 22:29:54,1
7656XH,2025-06-17 22:29:54,1
L656-XH,2025-06-17 22:29:55,1
L656XH,2025-06-17 22:29:55,1
L656-XH,2025-06-17 22:29:55,1
L656-XH,2025-06-17 22:29:55,1
L656 XH,2025-06-17 22:29:56,1
L6s6 XH,2025-06-17 22:29:56,1
L;656 XH,2025-06-17 22:29:56,1
L;656 XH,2025-06-17 22:29:56,1
L656 XH,2025-06-17 22:29:56,1
L656 XH,2025-06-17 22:29:56,1
L656 XH,2025-06-17 22:29:57,1
L656 XH,2025-06-17 22:29:57,1
L656 XH,2025-06-17 22:29:57,1
L656*XH,2025-06-17 22:29:57,1
L;656 XH,2025-06-17 22:29:57,1
C6S6XH,2025-06-17 22:29:57,1
L656 XH,2025-06-17 22:29:58,1
[656XH,2025-06-17 22:29:58,1
L656 XR,2025-06-17 22:29:58,1
L656KH,2025-06-17 22:29:58,1
L656 XH,2025-06-17 22:29:58,1
L656 KH,2025-06-17 22:29:58,1
L656 XH,2025-06-17 22:29:59,1
L656 XH,2025-06-17 22:29:59,1
L658 XH,2025-06-17 22:29:59,1
L656 KH,2025-06-17 22:29:59,1
L656 XH,2025-06-17 22:29:59,1
C656 XH,2025-06-17 22:30:00,1
L656 XH,2025-06-17 22:30:00,1
C656 XH,2025-06-17 22:30:00,1
L656 XH,2025-06-17 22:30:00,1
L656 XH,2025-06-17 22:30:00,1
L656 KH,2025-06-17 22:30:00,1
Lo56 KA,2025-06-17 22:30:01,1
L656 XHT,2025-06-17 22:30:01,1
L656 XH,2025-06-17 22:30:01,1
L656 XH,2025-06-17 22:30:01,1
L656 Xh,2025-06-17 22:30:01,1
L656 XH,2025-06-17 22:30:01,1
Loso XH,2025-06-17 22:30:02,1
Co56 XH,2025-06-17 22:30:02,1
CCL,2025-06-17 22:30:02,1
Keh,2025-06-17 22:30:02,1
Men,2025-06-17 22:30:03,1
KEn,2025-06-17 22:30:03,1
Dou,2025-06-17 22:30:03,1
ROtk,2025-06-17 22:30:03,1
FeaL,2025-06-17 22:30:03,1
KorL,2025-06-17 22:30:04,1
Fon,2025-06-17 22:30:04,1
Rah,2025-06-17 22:30:04,1
Ro4,2025-06-17 22:30:04,1
P4u,2025-06-17 22:30:05,1
Pk,2025-06-17 22:30:05,1
Kk,2025-06-17 22:30:05,1
Rb,2025-06-17 22:30:06,1
KAL,2025-06-17 22:30:06,1
R4k,2025-06-17 22:30:06,1
Rk,2025-06-17 22:30:07,1
Dan,2025-06-17 22:30:07,1
0ea0,2025-06-17 22:30:07,1
Db4,2025-06-17 22:30:08,1
06407,2025-06-17 22:30:08,1
R647,2025-06-17 22:30:08,1
064LX,2025-06-17 22:30:09,1
0644LX,2025-06-17 22:30:09,1
D64LX,2025-06-17 22:30:09,1
@64LX,2025-06-17 22:30:10,1
R64LX,2025-06-17 22:30:10,1
064LX,2025-06-17 22:30:10,1
0644LX,2025-06-17 22:30:11,1
R6ALX,2025-06-17 22:30:11,1
R6aLA,2025-06-17 22:30:11,1
H4iLX,2025-06-17 22:30:12,1
4644LX,2025-06-17 22:30:12,1
A644LX,2025-06-17 22:30:12,1
4.644LX,2025-06-17 22:30:13,1
4644LX,2025-06-17 22:30:13,1
A644LX,2025-06-17 22:30:13,1
0644LX,2025-06-17 22:30:14,1
0644LX,2025-06-17 22:30:14,1
4644-LX,2025-06-17 22:30:14,1
H-644LX,2025-06-17 22:30:15,1
H64 LX,2025-06-17 22:30:15,1
H644LX,2025-06-17 22:30:15,1
H644-LX,2025-06-17 22:30:15,1
H-644-LX,2025-06-17 22:30:15,1
H-644-LX,2025-06-17 22:30:16,1
H-644-LX,2025-06-17 22:30:16,1
H-644-LX,2025-06-17 22:30:16,1
0-644-LX,2025-06-17 22:30:16,1
H-644-LX,2025-06-17 22:30:17,1
A-644-LX,2025-06-17 22:30:17,1
A-644-LX,2025-06-17 22:30:17,1
A-644LX,2025-06-17 22:30:18,1
H-644-LX,2025-06-17 22:30:18,1
A-644LX,2025-06-17 22:30:18,1
R-644LX,2025-06-17 22:30:18,1
H-644-LX,2025-06-17 22:30:19,1
H-644-LX,2025-06-17 22:30:19,1
H-644-LX,2025-06-17 22:30:19,1
H-644LX,2025-06-17 22:30:20,1
H644-LX,2025-06-17 22:30:20,1
A644-LX,2025-06-17 22:30:20,1
H-644-LX,2025-06-17 22:30:21,1
644LX,2025-06-17 22:30:21,1
H.644LX,2025-06-17 22:30:21,1
H 644LX,2025-06-17 22:30:22,1
H644LX,2025-06-17 22:30:22,1
H644-LX,2025-06-17 22:30:22,1
H-644LX,2025-06-17 22:30:23,1
V,2025-06-17 22:30:23,1
EEd,2025-06-17 22:30:24,1
7t,2025-06-17 22:30:24,1
K884R,2025-06-17 22:30:24,1
K8BtRS,2025-06-17 22:30:25,1
K-884-RS,2025-06-17 22:30:25,1
K-884-RS,2025-06-17 22:30:25,1
RBBARS,2025-06-17 22:30:25,1
K8B4RS,2025-06-17 22:30:25,1
RBBARS,2025-06-17 22:30:26,1
K884RS,2025-06-17 22:30:26,1
K884RS,2025-06-17 22:30:26,1
RBB4RS,2025-06-17 22:30:27,1
K884RS,2025-06-17 22:30:27,1
K884 RS,2025-06-17 22:30:27,1
K884 RS,2025-06-17 22:30:27,1
K884 RS,2025-06-17 22:30:28,1
K884 RS,2025-06-17 22:30:28,1
K884 RS,2025-06-17 22:30:28,1
K-884-RS,2025-06-17 22:30:28,1
K-884-RS,2025-06-17 22:30:28,1
K-884 RS,2025-06-17 22:30:29,1
K884 RS,2025-06-17 22:30:29,1
K884 RS,2025-06-17 22:30:29,1
K884-RS,2025-06-17 22:30:29,1
K884 RS,2025-06-17 22:30:30,1
K884 RS,2025-06-17 22:30:30,1
K:884 RS,2025-06-17 22:30:30,1
K.884-RS,2025-06-17 22:30:30,1
K884 RS,2025-06-17 22:30:30,1
K884 RS,2025-06-17 22:30:31,1
K884 RS,2025-06-17 22:30:31,1
K884 RST,2025-06-17 22:30:31,1
K884 RS,2025-06-17 22:30:31,1
K884 RS,2025-06-17 22:30:31,1
K-884 RS,2025-06-17 22:30:31,1
K884 RS,2025-06-17 22:30:32,1
BtO,2025-06-17 22:30:32,1
66-F4 07,2025-06-17 22:30:32,1
66FRO7,2025-06-17 22:30:32,1
66-F4 07,2025-06-17 22:30:33,1
66-FA 07,2025-06-17 22:30:33,1
66-HH-07,2025-06-17 22:30:33,1
66-HH-07,2025-06-17 22:30:33,1
66-HH-Q7,2025-06-17 22:30:33,1
66-HH-Q7,2025-06-17 22:30:33,1
66-HH-07,2025-06-17 22:30:34,1
66-HH-07,2025-06-17 22:30:34,1
66-H4-07,2025-06-17 22:30:34,1
66-HA-Q7,2025-06-17 22:30:34,1
66-HH-07,2025-06-17 22:30:34,1
66-HH-07,2025-06-17 22:30:35,1
66-HH-07,2025-06-17 22:30:35,1
66-HH-07,2025-06-17 22:30:35,1
66-HH-07,2025-06-17 22:30:35,1
66-HH-07,2025-06-17 22:30:35,1
66-HH-07,2025-06-17 22:30:36,1
66-HH-07,2025-06-17 22:30:36,1
66-HH-07,2025-06-17 22:30:36,1
66-HH-07,2025-06-17 22:30:36,1
66-HH-07,2025-06-17 22:30:37,1
66-HH-07,2025-06-17 22:30:37,1
66-HH-0Z,2025-06-17 22:30:37,1
66-HH-07,2025-06-17 22:30:37,1
66-HH-07,2025-06-17 22:30:38,1
66-HH-07,2025-06-17 22:30:38,1
66-HH-07,2025-06-17 22:30:38,2
66-HH-07,2025-06-17 22:30:38,1
66-HH-0Z,2025-06-17 22:30:39,1
66-HH-07,2025-06-17 22:30:39,1
66-HH-07,2025-06-17 22:30:39,1
66-HH-07,2025-06-17 22:30:39,1
66-HH-07,2025-06-17 22:30:39,1
66-HH-0Z,2025-06-17 22:30:40,1
66-HH 0Z,2025-06-17 22:30:40,1
66-HH-07,2025-06-17 22:30:40,1
66-HH-07,2025-06-17 22:30:40,1
66-HH-07,2025-06-17 22:30:41,1
66-HH-07,2025-06-17 22:30:41,1
66-HH-07,2025-06-17 22:30:41,1
66-HH-0Z,2025-06-17 22:30:41,1
66-HA-07,2025-06-17 22:30:41,1
66-HH-07,2025-06-17 22:30:42,1
66-HH 0Z,2025-06-17 22:30:42,1
66-HH-07,2025-06-17 22:30:42,1
66-HA-07,2025-06-17 22:30:42,1
66-HH-07,2025-06-17 22:30:43,1
66-HH-07,2025-06-17 22:30:43,1
66-HH-07,2025-06-17 22:30:43,1
66-HH-07,2025-06-17 22:30:43,1
66-HH-07,2025-06-17 22:30:44,1
66-HH-07,2025-06-17 22:30:44,1
66-HH-07,2025-06-17 22:30:44,1
66-HH-07,2025-06-17 22:30:44,1
66-HH-07,2025-06-17 22:30:44,1
66-HH-07,2025-06-17 22:30:45,1
66-HH-07,2025-06-17 22:30:45,1
66-HH-07,2025-06-17 22:30:45,1
66-HH-07,2025-06-17 22:30:45,1
66-HH-07,2025-06-17 22:30:46,1
66-HH-07,2025-06-17 22:30:46,1
66-HH-07,2025-06-17 22:30:46,1
66-HH-07,2025-06-17 22:30:46,1
66-HH-07,2025-06-17 22:30:46,1
66-HH-07,2025-06-17 22:30:47,1
66-HH-07,2025-06-17 22:30:47,1
66-HH-07,2025-06-17 22:30:47,1
66-HH-07,2025-06-17 22:30:47,1
66-HH-07,2025-06-17 22:30:48,1
66-HH-07,2025-06-17 22:30:48,1
66-HH-07,2025-06-17 22:30:48,1
66-HH-07,2025-06-17 22:30:48,1
66-HH-07,2025-06-17 22:30:49,1
66-HH-07,2025-06-17 22:30:49,1
66-HA-07,2025-06-17 22:30:49,1
MH,2025-06-17 22:30:49,1
06 HH U,2025-06-17 22:30:49,1
66 HH 0Z,2025-06-17 22:30:50,1
66 HH 0Z,2025-06-17 22:30:50,1
66 HH 0Z,2025-06-17 22:30:50,1
66 HH 07,2025-06-17 22:30:50,2
66-HH 07,2025-06-17 22:30:51,1
66 HH 07,2025-06-17 22:30:51,1
66 HH 07,2025-06-17 22:30:51,1
66-HH 07,2025-06-17 22:30:51,1
66 HH 07,2025-06-17 22:30:51,1
66 HH 0Z,2025-06-17 22:30:52,1
66-HH 0Z,2025-06-17 22:30:52,1
66 HH 07,2025-06-17 22:30:52,1
66 HH 0Z,2025-06-17 22:30:52,1
66-HH 0Z,2025-06-17 22:30:52,1
L6o5 HZ,2025-06-17 22:30:52,1
L605 HZ,2025-06-17 22:30:53,1
L6o5-HZ,2025-06-17 22:30:53,1
L6o5-HZ ,2025-06-17 22:30:53,1
L6o5.HZ,2025-06-17 22:30:53,1
L6os-HZ,2025-06-17 22:30:54,1
L605-HZ,2025-06-17 22:30:54,1
L6os-HZ,2025-06-17 22:30:54,1
0605-HZ,2025-06-17 22:30:54,1
L6OUZ,2025-06-17 22:30:54,1
DCEuZ,2025-06-17 22:30:55,1
@Ch,2025-06-17 22:30:55,1
LCkZ,2025-06-17 22:30:55,1
Gbul,2025-06-17 22:30:55,1
7,2025-06-17 22:31:03,1
6,2025-06-17 22:31:03,1
B7,2025-06-17 22:31:03,1
h,2025-06-17 22:31:04,1
F4,2025-06-17 22:31:04,1
Le05HZ,2025-06-17 22:31:04,1
LeOBHZ,2025-06-17 22:31:04,1
Les FZ,2025-06-17 22:31:05,1
L605FZ,2025-06-17 22:31:05,1
L60sTZ,2025-06-17 22:31:05,1
L6osHZ,2025-06-17 22:31:06,1
L6osHZ,2025-06-17 22:31:06,1
L6osHZ,2025-06-17 22:31:06,1
L6os-HZ,2025-06-17 22:31:06,1
L6osHZ,2025-06-17 22:31:07,1
L6osHZ,2025-06-17 22:31:07,1
L6os HZ,2025-06-17 22:31:07,1
:605-HZ,2025-06-17 22:31:07,1
L6os-HZ,2025-06-17 22:31:08,1
;605-HZ,2025-06-17 22:31:08,1
:605-HZ,2025-06-17 22:31:08,1
;605-HZ,2025-06-17 22:31:08,1
5605-HZ,2025-06-17 22:31:09,1
;605-HZ,2025-06-17 22:31:09,1
:605-HZ,2025-06-17 22:31:09,1
:605-HZ,2025-06-17 22:31:09,1
L6o5 HZ,2025-06-17 22:31:10,1
L6o5 HZ,2025-06-17 22:31:10,1
L6os HZ,2025-06-17 22:31:10,1
L6o5- HZ,2025-06-17 22:31:10,1
{605 HZ,2025-06-17 22:31:11,1
L6o5 HZ,2025-06-17 22:31:11,1
L6os HZ,2025-06-17 22:31:11,1
L6os HZ,2025-06-17 22:31:11,1
Li605 HZ,2025-06-17 22:31:11,1
L6o5 HZ,2025-06-17 22:31:12,1
L6o5 HZ,2025-06-17 22:31:12,1
L6os HZ,2025-06-17 22:31:12,1
L6o5 HZ,2025-06-17 22:31:12,1
605-HZ,2025-06-17 22:31:13,1
"L""",2025-06-17 22:31:13,1
L605 HZ,2025-06-17 22:31:13,1
L6o5-HZ,2025-06-17 22:31:13,1
L6o5 HZ,2025-06-17 22:31:13,1
L6o5 HZ,2025-06-17 22:31:14,1
L605-HZ,2025-06-17 22:31:14,1
L6o5-HZ,2025-06-17 22:31:14,1
L605-HZ,2025-06-17 22:31:14,1
L605-HZ,2025-06-17 22:31:15,1
L605-HZ,2025-06-17 22:31:15,1
L6o5 HZ,2025-06-17 22:31:15,1
L6o5-HZ,2025-06-17 22:31:15,1
L6o5-HZ,2025-06-17 22:31:16,1
